,Speceis Name,optimal temperature,optimal pH,optimal salt concentration
2083,Proteiniphilum acetatigenes,37.0,7.75,2.5
2084,Petrimonas sulfuriphila,38.5,7.2,None
2085,Parabacteroides chartae,36.0,7.25,None
2086,Pseudoalteromonas aliena,23.5,7.75,3.25
2087,Auraticoccus monumenti,28.0,7.75,3.0
2088,Aestuariimicrobium kwangyangense,30.0,8.0,None
2089,Brooklawnia cerclae,37.0,6.5,None
2090,Tessaracoccus oleiagri,28.0,7.0,4.0
2091,Tessaracoccus flavescens,28.0,None,None
2092,Tessaracoccus lubricantis,28.0,8.0,None
2093,Propioniferax innocua,37.0,None,None
2094,Cutibacterium acnes subsp. acnes,33.5,None,None
2095,Micropruina glycogenica,28.0,None,None
2096,Microlunatus parietis,28.0,7.0,None
2097,Microlunatus aurantiacus,28.0,7.2,None
2098,Microlunatus panaciterrae,28.0,7.0,None
2099,Microlunatus ginsengisoli,28.0,7.0,4.5
2100,Microlunatus phosphovorus,28.0,None,None
2101,Luteococcus japonicus,28.0,None,None
2102,Granulicoccus phenolivorans,28.0,7.0,None
2103,Microlunatus sagamiharensis,26.5,7.35,None
2104,Microlunatus okinawensis,25.0,6.5,None
2105,Friedmanniella luteola,26.0,6.85,None
2106,Microlunatus lucidus,25.0,6.5,1.0
2107,Microlunatus lacustris,20.0,None,None
2108,Microlunatus capsulatus,28.0,None,None
2109,Microlunatus antarcticus,28.0,None,None
2110,Xylanimonas cellulosilytica,28.0,None,None
2111,Xylanimonas ulmi,28.0,7.0,None
2112,Promicromonospora thailandica,27.5,None,None
2113,Promicromonospora xylanilytica,28.0,None,None
2114,Promicromonospora umidemergens,28.0,None,None
2115,Krasilnikoviella flava,28.0,6.8,1.0
2116,Promicromonospora kroppenstedtii,28.0,None,None
2117,Pseudomonas aeruginosa,37.0,None,None
2118,Rhizobacter fulvus,25.0,6.8,None
2119,Pseudoalteromonas lipolytica,25.0,7.5,3.0
2120,Pseudoalteromonas arctica,12.5,7.5,2.5
2121,Pseudomonas proteolytica,33.0,7.0,None
2122,Pseudomonas antarctica,22.0,7.0,None
2123,Pseudomonas lurida,21.0,None,None
2124,Actinoalloteichus spitiensis,28.0,8.0,None
2125,Pseudomonas taiwanensis,33.5,7.0,3.0
2126,Pseudomonas pelagia,25.0,7.8,1.5
2127,Pseudomonas caeni,30.0,7.5,0.75
2128,Pseudomonas xinjiangensis,37.0,8.0,2.0
2129,Pseudomonas cuatrocienegasensis,30.0,None,None
2130,Pseudomonas xiamenensis,27.5,None,2.0
2131,Pseudomonas duriflava,33.5,7.5,0.5
2132,Pseudomonas marincola,26.5,7.5,None
2133,Pseudomonas guineae,13.0,None,2.0
2134,Pseudomonas knackmussii,30.5,7.2,None
2135,Pseudomonas delhiensis,37.0,None,5.0
2136,Pseudomonas panacis,19.5,None,2.5
2137,Pseudomonas borbori,25.0,7.0,None
2138,Pseudomonas peli,33.5,7.0,None
2139,Pseudomonas pachastrellae,24.0,None,5.0
2140,Pseudomonas azotifigens,34.5,7.95,3.75
2141,Pseudomonas argentinensis,25.0,None,None
2142,Pseudomonas lutea,25.0,None,None
2143,Pseudomonas psychrotolerans,20.5,None,3.0
2144,Lentzea aerocolonigenes,28.0,None,None
2145,Lentzea flava,37.0,None,None
2146,Kutzneria buriramensis,31.0,None,None
2147,Kutzneria viridogrisea,30.0,None,None
2148,Kutzneria albida,30.0,None,None
2149,Kibdelosporangium philippinense,28.0,None,None
2150,Kibdelosporangium aridum subsp. largum,28.0,None,None
2151,Kibdelosporangium aridum subsp. aridum,28.0,None,None
2152,Crossiella equi,28.0,None,None
2153,Crossiella cryophila,25.0,None,None
2154,Amycolatopsis dongchuanensis,28.0,7.5,None
2155,Haloechinothrix salitolerans,37.0,7.0,5.0
2156,Amycolatopsis samaneae,29.5,8.0,5.0
2157,Amycolatopsis helveola,28.5,7.0,1.5
2158,Amycolatopsis xylanica,28.0,7.5,2.5
2159,Haloechinothrix halophila,37.0,7.0,5.0
2160,Amycolatopsis ultiminotia,28.0,7.1,2.5
2161,Amycolatopsis marina,28.0,7.5,5.0
2162,Amycolatopsis niigatensis,30.0,9.0,5.0
2163,Amycolatopsis echigonensis,30.0,9.0,5.0
2164,Amycolatopsis regifaucium,28.0,7.0,5.0
2165,Amycolatopsis taiwanensis,30.0,7.0,0.5
2166,Amycolatopsis jejuensis,20.0,None,2.0
2167,Amycolatopsis halotolerans,23.5,7.0,7.0
2168,Amycolatopsis saalfeldensis,28.0,6.25,2.0
2169,Amycolatopsis nigrescens,28.0,7.0,6.0
2170,Amycolatopsis minnesotensis,28.0,7.0,None
2171,Amycolatopsis vancoresmycina,28.0,None,None
2172,Amycolatopsis rifamycinica,28.0,None,None
2173,Amycolatopsis plumensis,28.0,8.0,None
2174,Amycolatopsis decaplanina,28.0,None,None
2175,Amycolatopsis australiensis,28.0,None,None
2176,Amycolatopsis albidiflava,28.0,None,None
2177,Amycolatopsis rubida,28.0,None,None
2178,Amycolatopsis balhimycina,28.0,None,None
2179,Amycolatopsis tolypomycina,28.0,None,None
2180,Amycolatopsis sacchari,28.0,None,None
2181,Amycolatopsis eurytherma,45.0,None,None
2182,Amycolatopsis japonica,28.0,None,None
2183,Amycolatopsis alba,28.0,None,None
2184,Amycolatopsis magusensis,28.0,7.0,None
2185,Amycolatopsis sulphurea,28.0,None,None
2186,Amycolatopsis azurea,30.0,None,None
2187,Amycolatopsis orientalis,30.0,None,None
2188,Amycolatopsis lurida,30.0,None,None
2189,Actinosynnema pretiosum subsp. pretiosum,28.0,None,None
2190,Actinosynnema mirum,28.0,None,None
2191,Actinokineospora soli,37.0,8.0,1.0
2192,Actinokineospora cianjurensis,26.5,7.0,1.0
2193,Actinokineospora cibodasensis,26.5,7.0,1.0
2194,Actinokineospora baliensis,26.5,7.0,0.5
2195,Actinokineospora riparia,28.0,None,None
2196,Pseudonocardia carboxydivorans,25.0,7.0,2.0
2197,Pseudonocardia ailaonensis,28.0,7.5,2.5
2198,Pseudonocardia endophytica,28.0,7.0,2.5
2199,Pseudonocardia tetrahydrofuranoxydans,28.0,7.0,4.0
2200,Pseudonocardia oroxyli,28.0,None,None
2201,Pseudonocardia ammonioxydans,28.0,7.0,3.5
2202,Pseudonocardia dioxanivorans,28.0,None,2.5
2203,Pseudonocardia antarctica,28.0,None,None
2204,Pseudonocardia benzenivorans,28.0,None,None
2205,Pseudonocardia antitumoralis,28.0,7.5,3.0
2206,Pseudonocardia sulfidoxydans,28.0,None,None
2207,Pseudonocardia alni,30.0,None,None
2208,Pseudonocardia compacta,30.0,None,None
2209,Pseudonocardia halophobica,28.0,None,None
2210,Pseudonocardia thermophila,40.0,None,None
2211,Pseudonocardia saturnea,28.0,None,None
2212,Pseudonocardia hydrocarbonoxydans,30.0,None,None
2213,Prauserella marina,32.5,7.0,None
2214,Prauserella sediminis,32.5,7.0,10.0
2215,Prauserella aidingensis,32.5,7.0,9.0
2216,Prauserella alba,28.0,None,12.5
2217,Prauserella halophila,28.0,None,12.5
2218,Prauserella rugosa,28.0,None,None
2219,Lentzea kentuckyensis,23.5,None,None
2220,Lentzea californiensis,28.0,None,None
2221,Lentzea albidocapillata subsp. albidocapillata,37.0,None,None
2222,Lentzea waywayandensis,28.0,None,None
2223,Lentzea roselyniae,30.0,7.5,None
2224,Lentzea deserti,30.0,7.5,None
2225,Lentzea atacamensis,30.0,7.5,None
2226,Lentzea fradiae,30.0,7.5,5.5
2227,Lentzea xinjiangensis,28.0,8.5,4.5
2228,Actinomycetospora chiangmaiensis,28.0,None,None
2229,Thermocrispum municipale,45.0,None,None
2230,Thermocrispum agreste,50.0,None,None
2231,Thermobispora bispora,45.0,None,None
2232,Streptoalloteichus tenebrarius,28.0,None,None
2233,Streptoalloteichus hindustanus,28.0,None,None
2234,Saccharothrix variisporea,33.5,7.0,4.0
2235,Saccharothrix violaceirubra,28.0,None,None
2236,Saccharothrix hoggarensis,30.0,7.0,4.5
2237,Saccharothrix xinjiangensis,31.5,None,2.25
2238,Saccharothrix algeriensis,31.5,7.0,None
2239,Saccharothrix texasensis,28.0,None,None
2240,Saccharothrix syringae,28.0,None,None
2241,Saccharothrix australiensis,28.0,None,None
2242,Saccharothrix mutabilis subsp. mutabilis,25.0,None,None
2243,Saccharothrix longispora,28.0,None,None
2244,Saccharothrix coeruleofusca,28.0,None,None
2245,Saccharopolyspora phatthalungensis,31.0,None,2.5
2246,Saccharopolyspora gloriosae,28.0,None,2.5
2247,Saccharopolyspora rosea,28.0,7.0,None
2248,Saccharopolyspora kobensis,30.0,7.5,None
2249,Saccharopolyspora antimicrobica,28.0,7.25,None
2250,Saccharopolyspora qijiaojingensis,37.0,7.0,13.0
2251,Saccharopolyspora halophila,28.0,7.5,12.5
2252,Saccharopolyspora spinosporotrichia,28.0,None,None
2253,Saccharopolyspora spinosa,28.0,None,None
2254,Saccharopolyspora hordei,37.0,None,None
2255,Saccharopolyspora taberi,28.0,None,None
2256,Saccharopolyspora hirsuta,30.0,None,None
2257,Saccharopolyspora erythraea,30.0,None,None
2258,Saccharopolyspora rectivirgula,45.0,None,None
2259,Saccharomonospora marina,28.0,7.0,1.5
2260,Saccharomonospora saliphila,37.0,None,10.0
2261,Saccharomonospora iraqiensis subsp. paurometabolica,28.0,None,None
2262,Saccharomonospora azurea,28.0,None,None
2263,Saccharomonospora halophila,30.0,None,10.0
2264,Saccharomonospora xinjiangensis,28.0,None,None
2265,Saccharomonospora cyanea,28.0,None,None
2266,Saccharomonospora glauca,37.0,None,None
2267,Micropolyspora internatus,28.0,None,None
2268,Pseudonocardia xishanensis,28.5,6.5,1.5
2269,Pseudonocardia adelaidensis,26.0,8.0,15.0
2270,Pseudonocardia tropica,28.0,7.0,1.0
2271,Pseudonocardia babensis,28.0,7.0,1.5
2272,Pseudonocardia parietis,28.0,None,0.9
2273,Pseudonocardia acaciae,37.0,6.5,2.5
2274,Kaistia terrae,30.0,7.0,None
2275,Kaistia soli,29.0,6.5,None
2276,Kaistia granuli,24.0,6.75,1.0
2277,Psychromonas japonica,21.0,9.0,3.5
2278,Labedaea rhizosphaerae,33.5,7.75,None
2279,Amycolatopsis arida,41.0,9.0,3.5
2280,Haloechinothrix alba,37.0,7.0,15.0
2281,Actinophytocola oryzae,23.0,6.5,None
2282,Actinokineospora alba,28.0,7.25,None
2283,Sciscionella marina,28.0,7.0,4.0
2284,Allokutzneria albata,28.0,None,None
2285,Goodfellowiella coeruleoviolacea,37.0,None,4.0
2286,Pseudooceanicola nanhaiensis,28.0,7.8,2.5
2287,Pseudooceanicola batsensis,30.0,7.75,5.4
2288,Oceanicola granulosus,28.0,7.75,5.1
2289,Sulfitobacter indolifex,27.5,7.5,4.0
2290,Pseudovibrio exalbescens,45.0,7.0,13.5
2291,Nereida ignava,20.5,None,4.0
2292,Limimaricola pyoseonensis,25.0,7.5,3.5
2293,Limimaricola hongkongensis,26.0,7.5,8.0
2294,Loktanella fryxellensis,25.0,None,2.5
2295,Yoonia vestfoldensis,25.0,None,5.0
2296,Loktanella salsilacus,25.0,None,2.5
2297,Sedimentitalea nanhaiensis,25.0,7.75,2.5
2298,Leisingera aquimarina,30.0,7.2,4.0
2299,Jannaschia seohaensis,30.0,7.5,None
2300,Jannaschia pohangensis,30.0,7.0,None
2301,Jannaschia rubra,14.5,None,4.5
2302,Dinoroseobacter shibae,33.0,7.75,4.0
2303,Salipiger marinus,26.5,6.5,4.5
2304,Gemmobacter caeni,32.5,5.0,1.5
2305,Cereibacter changlensis,29.0,7.0,0.1
2306,Gemmobacter nectariphilus,30.0,7.0,1.0
2307,Meinhardsimonia xiamenensis,54.0,8.0,3.0
2308,Rhizobium halophytocola,29.0,7.5,4.0
2309,Allorhizobium borbori,28.0,6.9,0.25
2310,Neorhizobium vignae,28.0,7.0,1.0
2311,Rhizobium tubonense,27.5,None,None
2312,Neorhizobium alkalisoli,28.0,7.0,1.0
2313,Rhizobium multihospitium,28.0,7.0,None
2314,Rhizobium fabae,28.0,7.0,1.0
2315,Rhizobium cellulosilyticum,28.0,7.2,2.0
2316,Rhizobium daejeonense,23.0,7.5,1.0
2317,Sulfitobacter marinus,30.0,7.5,2.0
2318,Sulfitobacter litoralis,20.0,7.5,6.5
2319,Sulfitobacter delicatus,25.0,7.75,3.5
2320,Sulfitobacter dubius,25.0,7.75,6.0
2321,Salipiger mucosus,30.0,8.0,9.5
2322,Ruegeria marina,36.0,7.5,1.75
2323,Tritonibacter scottomollicae,30.0,7.5,8.0
2324,Rubellimicrobium aerolatum,30.0,7.0,0.5
2325,Rubellimicrobium mesophilum,28.0,7.0,None
2326,Rubellimicrobium thermophilum,32.5,7.0,None
2327,Pacificibacter marinus,30.0,7.5,2.5
2328,Roseovarius mucosus,30.0,7.4,4.0
2329,Aliiroseovarius crassostreae,34.0,7.25,1.25
2330,Roseivivax sediminis,28.0,7.75,7.5
2331,Roseivivax isoporae,37.5,7.75,4.0
2332,Roseisalinus antarcticus,18.25,7.5,None
2333,Rhodovulum bhavnagarense,28.0,7.5,2.0
2334,Rhodovulum kholense,30.0,6.5,2.5
2335,Rhodovulum visakhapatnamense,28.0,7.0,None
2336,Rhodovulum imhoffii,28.0,7.5,2.25
2337,Rhodovulum marinum,30.0,6.4,1.75
2338,Pseudovibrio denitrificans,30.0,8.0,3.0
2339,Pseudovibrio ascidiaceicola,20.0,7.0,4.0
2340,Leisingera caerulea,24.0,7.25,3.5
2341,Pseudophaeobacter arcticus,19.5,7.5,None
2342,Leisingera daeponensis,37.0,7.5,2.0
2343,Phaeobacter inhibens,28.0,7.5,3.45
2344,Paracoccus isoporae,27.5,9.5,4.0
2345,Paracoccus saliphilus,37.0,7.0,8.0
2346,Paracoccus aestuarii,26.0,9.0,None
2347,Dechloromonas denitrificans,30.0,7.0,None
2348,Azospira restricta,37.0,7.0,1.0
2349,Azonexus hydrophilus,37.5,7.5,0.5
2350,Rhodoligotrophos appendicifer,30.0,7.0,None
2351,Lutibaculum baratangense,33.5,8.0,None
2352,Afifella pfennigii,32.5,7.3,1.5
2353,Rhodobium gokarnense,30.0,7.25,4.0
2354,Parvibaculum hydrocarboniclasticum,35.0,7.5,2.5
2355,Parvibaculum indicum,31.0,None,3.0
2356,Planktotalea frisia,22.5,8.25,3.75
2357,Celeribacter halophilus,28.0,7.0,None
2358,Litoreibacter arenae,30.0,7.0,4.425
2359,Hwanghaeicola aestuarii,27.5,7.0,2.5
2360,Pontibaca methylaminivorans,30.0,7.5,2.5
2361,Celeribacter neptunius,25.0,7.8,4.5
2362,Mameliella alba,25.0,8.0,1.5
2363,Roseibaca ekhonensis,16.0,8.25,2.5
2364,Marivita litorea,30.0,7.5,None
2365,Marivita cryptomonadis,30.0,8.0,None
2366,Sediminimonas qiaohouensis,29.0,7.75,5.25
2367,Phaeobacter italicus,24.0,7.25,2.5
2368,Pelagicola litoralis,25.0,7.0,3.5
2369,Ponticoccus litoralis,30.0,7.0,4.0
2370,Tateyamaria pelophila,25.0,None,None
2371,Albimonas donghaensis,29.0,7.5,3.5
2372,Tropicibacter naphthalenivorans,37.0,7.6,5.0
2373,Tropicimonas isoalkanivorans,37.0,7.6,3.0
2374,Tranquillimonas alkanivorans,43.0,8.5,2.0
2375,Wenxinia marina,36.0,7.75,2.0
2376,Roseibium alexandrii,26.0,7.6,5.5
2377,Roseibium marinum,28.0,7.0,4.5
2378,Pseudodonghicola xiamenensis,25.0,7.0,2.0
2379,Shimia isoporae,27.5,7.5,3.5
2380,Roseibacterium elongatum,28.5,7.8,4.0
2381,Palleronia marisminoris,28.5,7.5,5.0
2382,Rhodobacter johrii,30.0,6.8,None
2383,Rhodobacter megalophilus,32.5,None,None
2384,Rhodobacter aestuarii,30.0,7.0,None
2385,Thioclava pacifica,35.0,8.0,None
2386,Azospirillum picis,29.5,None,None
2387,Thalassospira tepidiphila,43.0,7.0,3.0
2388,Thalassospira profundimaris,22.0,None,3.5
2389,Thalassospira xiamenensis,22.0,None,3.0
2390,Skermanella aerolata,27.5,6.5,2.5
2391,Roseospira visakhapatnamensis,30.0,7.0,2.0
2392,Roseospira goensis,30.0,7.5,2.0
2393,Nisaea nitritireducens,30.0,6.0,None
2394,Nisaea denitrificans,30.0,6.0,None
2395,Uliginosibacterium gangwonense,27.5,6.5,None
2396,Denitratisoma oestradiolicum,29.0,7.1,0.5
2397,Zoogloea caeni,27.5,7.0,None
2398,Shinella yambaruensis,28.5,6.5,1.0
2399,Shinella kummerowiae,27.5,7.5,None
2400,Shinella granuli,30.0,8.0,2.5
2401,Pedobacter caeni,28.0,None,None
2402,Olivibacter sitiensis,30.0,6.5,None
2403,Sphaerobacter thermophilus,55.0,8.5,None
2404,Shewanella corallii,26.0,None,3.25
2405,Shewanella xiamenensis,33.5,7.0,1.5
2406,Shewanella colwelliana,22.5,None,3.3
2407,Shewanella atlantica,10.0,None,2.5
2408,Shewanella canadensis,10.0,None,3.0
2409,Shewanella loihica,18.0,7.0,2.0
2410,Shewanella halifaxensis,10.0,7.0,2.0
2411,Shewanella surugensis,13.0,7.0,3.0
2412,Shewanella abyssi,10.0,7.0,4.0
2413,Shewanella kaireitica,24.5,7.0,4.0
2414,Shewanella sediminis,10.0,None,2.0
2415,Shewanella gaetbuli,30.0,7.5,2.0
2416,Shewanella profunda,27.5,7.0,None
2417,Shewanella pacifica,22.5,None,3.3
2418,Segniliparus rotundus,28.0,None,None
2419,Lewinella agarilytica,30.0,8.6,1.0
2420,Lewinella cohaerens,25.0,7.0,None
2421,Flavimobilis soli,37.0,None,None
2422,Sanguibacter antarcticus,28.0,5.5,3.5
2423,Flavimobilis marinus,27.5,7.25,3.5
2424,Sanguibacter suarezii,28.0,None,None
2425,Sanguibacter keddieii,28.0,None,None
2426,Saccharospirillum impatiens,24.5,None,None
2427,Rubrobacter xylanophilus,60.0,None,None
2428,Rubrobacter radiotolerans,47.5,None,None
2429,Alistipes shahii,37.0,7.0,None
2430,Alistipes onderdonkii subsp. onderdonkii,37.0,7.0,None
2431,Elstera litoralis,22.5,6.75,None
2432,Tistlia consotensis,30.0,6.6,0.5
2433,Fodinicurvata sediminis,28.0,7.5,None
2434,Fodinicurvata fenggangensis,28.0,7.5,None
2435,Oceanibaculum pacificum,32.5,None,3.25
2436,Thalassobaculum litoreum,32.5,8.0,None
2437,Pararhodospirillum sulfurexigens,30.0,7.0,0.75
2438,Azospirillum thiophilum,37.0,7.5,1.5
2439,Sphingobium qiguonii,28.0,6.5,None
2440,Sphingobium faniae,30.0,7.5,None
2441,Sphingobium quisquiliarum,28.0,7.0,1.0
2442,Sphingobium scionense,30.0,None,None
2443,Sphingobium vermicomposti,30.0,7.0,None
2444,Sphingobium lactosutens,28.0,7.0,2.5
2445,Sphingobium ummariense,28.0,7.5,1.5
2446,Novosphingobium soli,18.0,5.75,None
2447,Novosphingobium indicum,27.5,None,None
2448,Novosphingobium acidiphilum,25.0,5.75,None
2449,Novosphingobium panipatense,32.5,7.2,None
2450,Novosphingobium mathurense,32.5,7.2,None
2451,Novosphingobium taihuense,25.0,6.0,0.5
2452,Novosphingobium lentum,23.0,None,None
2453,Novosphingobium pentaromativorans,30.0,6.5,2.5
2454,Solitalea koreensis,29.0,6.5,0.5
2455,Olivibacter domesticus,25.5,6.75,2.5
2456,Parapedobacter luteus,30.0,7.0,None
2457,Parapedobacter composti,30.0,7.0,None
2458,Mucilaginibacter oryzae,27.5,6.0,None
2459,Mucilaginibacter paludis,17.5,6.2,0.5
2460,Mucilaginibacter gracilis,17.5,6.2,0.5
2461,Sphingobacterium wenxiniae,30.0,7.5,1.0
2462,Albibacterium bauzanense,22.5,7.5,1.5
2463,Pedobacter glucosidilyticus,30.0,7.5,0.5
2464,Daejeonella oryzae,27.5,7.0,None
2465,Pedobacter agri,25.0,7.0,1.25
2466,Pedobacter borealis,17.0,7.0,None
2467,Pedobacter nyackensis,17.0,7.5,None
2468,Pedobacter alluvionis,17.0,7.5,None
2469,Pedobacter steynii,26.0,7.08,2.0
2470,Pedobacter westerhofensis,23.0,6.55,2.0
2471,Pedobacter metabolipauper,25.0,6.95,2.0
2472,Pedobacter duraquae,26.0,6.925,2.0
2473,Pedobacter hartonius,14.0,6.75,2.0
2474,Pedobacter insulae,30.0,7.5,0.25
2475,Pedobacter suwonensis,34.0,6.75,0.25
2476,Pedobacter terrae,25.0,7.0,0.5
2477,Parasphingopyxis lamellibrachiae,29.0,7.0,2.0
2478,Stakelama pacifica,28.0,8.0,2.0
2479,Allosphingosinicella vermicomposti,30.0,7.5,None
2480,Sphingosinicella soli,30.0,7.75,0.5
2481,Sphingosinicella microcystinivorans,30.0,7.0,None
2482,Sphingopyxis panaciterrulae,27.5,7.5,None
2483,Sphingopyxis soli,30.0,6.0,None
2484,Sphingopyxis terrae,28.0,7.5,1.0
2485,Sphingorhabdus marina,27.8,7.0,4.0
2486,Sphingorhabdus litoris,27.8,7.0,3.5
2487,Novosphingopyxis baekryungensis,27.5,7.5,2.0
2488,Sphingomonas laterariae,28.0,None,None
2489,Sphingomonas indica,28.0,7.0,1.0
2490,Sphingomonas formosensis,30.0,7.0,None
2491,Sphingomonas rubra,28.0,7.5,None
2492,Sphingomonas histidinilytica,28.0,7.5,1.5
2493,Sphingomonas changbaiensis,30.0,6.5,0.05
2494,Sphingomonas hankookensis,30.0,7.5,0.25
2495,Sphingomonas japonica,26.5,None,None
2496,Sphingomonas insulae,25.0,6.5,0.25
2497,Sphingomonas sanxanigenens,29.0,7.25,0.025
2498,Sphingomonas haloaromaticamans,33.5,6.5,None
2499,Sphingomonas fennica,25.0,7.5,None
2500,Sphingomonas kaistensis,27.5,None,None
2501,Sphingomonas jaspsi,36.0,6.5,None
2502,Sphingomonas aestuarii,30.0,None,None
2503,Sphingomonas mucosissima,25.0,7.0,1.25
2504,Sphingomonas molluscorum,26.5,None,2.0
2505,Sphingomonas azotifigens,31.0,None,1.0
2506,Sphingomonas soli,30.0,7.2,None
2507,Sphingomonas yunnanensis,28.0,7.25,0.5
2508,Sphingomonas abaci,21.5,None,1.0
2509,Sphingomonas panni,26.0,None,1.0
2510,Sphingomonas oligophenolica,20.5,None,None
2511,Sphingomonas desiccabilis,25.0,7.0,2.0
2512,Sphingomonas yabuuchiae,30.0,None,None
2513,Sporichthya polymorpha,28.0,None,None
2514,Sphaerochaeta pleomorpha,27.5,7.0,None
2515,Sphaerochaeta globosa,27.5,7.0,None
2516,Thiospirochaeta perfilievii,29.0,7.25,2.03
2517,Spirochaeta dissipatitropha,35.0,10.0,2.0
2518,Spirochaeta cellobiosiphila,37.0,7.5,2.03
2519,Sediminispirochaeta bajacaliforniensis,35.0,7.5,1.5
2520,Treponema caldarium,50.0,7.3,None
2521,Oceanispirochaeta litoralis,31.0,7.2,1.75
2522,Borrelia lanei,33.5,None,None
2523,Borrelia bissettiae,33.5,None,None
2524,Borrelia californiensis,33.5,None,None
2525,Staphylococcus aureus,37.0,None,None
2526,Salinicoccus carnicancri,33.5,7.5,12.0
2527,Salinicoccus albus,25.0,8.5,10.0
2528,Salinicoccus halodurans,28.0,7.5,8.0
2529,Salinicoccus iranensis,35.0,7.5,10.0
2530,Salinicoccus kunmingensis,37.0,8.0,9.0
2531,Salinicoccus siamensis,37.0,8.5,10.0
2532,Salinicoccus luteus,30.0,8.5,10.0
2533,Salinicoccus jeotgali,30.0,7.0,5.0
2534,Jeotgalicoccus aerolatus,39.5,None,7.0
2535,Jeotgalicoccus huakuii,32.5,8.25,5.5
2536,Jeotgalicoccus marinus,27.5,7.5,7.5
2537,Jeotgalicoccus pinnipedialis,33.5,None,4.0
2538,Sinobaca qinghaiensis,28.0,8.8,10.0
2539,Pullulanibacillus uraniitolerans,37.0,4.0,3.0
2540,Sporolactobacillus putidus,35.0,4.75,None
2541,Sporolactobacillus vineae,37.0,6.5,3.5
2542,Nosocomiicoccus ampullae,37.0,7.8,None
2543,Staphylococcus agnetis,30.0,8.0,None
2544,Staphylococcus devriesei,31.5,7.0,None
2545,Staphylococcus rostri,37.0,None,10.5
2546,Staphylococcus massiliensis,33.5,None,None
2547,Staphylococcus simiae,30.0,None,12.0
2548,Streptococcus gallolyticus,28.0,7.8,0.02
2549,Lactococcus chungangensis,30.0,7.0,None
2550,Streptomyces albaduncus,28.0,None,None
2551,Streptomyces afghaniensis,28.0,None,None
2552,Streptomyces achromogenes subsp. achromogenes,28.0,None,None
2553,Kitasatospora aburaviensis,28.0,None,None
2554,Streptacidiphilus oryzae,30.0,5.5,None
2555,Kitasatospora viridis,23.5,5.5,5.0
2556,Kitasatospora terrestris,28.0,7.0,1.5
2557,Kitasatospora paranensis,28.0,7.0,1.75
2558,Kitasatospora nipponensis,28.0,6.5,1.25
2559,Kitasatospora gansuensis,28.0,7.25,1.25
2560,Kitasatospora arboriphila,28.0,6.5,1.0
2561,Kitasatospora putterlickiae,28.0,None,None
2562,Kitasatospora mediocidica,28.0,None,None
2563,Kitasatospora griseola,28.0,None,None
2564,Kitasatospora cystarginea,28.0,None,None
2565,Kitasatospora paracochleata,28.0,None,None
2566,Kitasatospora atroaurantiaca,28.0,None,None
2567,Streptococcus merionis,27.5,None,None
2568,Streptococcus plurextorum,37.0,None,None
2569,Streptococcus massiliensis,37.0,7.0,2.0
2570,Streptococcus orisuis,37.0,None,None
2571,Streptococcus minor,25.0,None,None
2572,Streptomyces anulatus,28.0,None,None
2573,Streptomyces anandii,28.0,None,None
2574,Streptomyces ambofaciens,28.0,None,None
2575,Streptomyces amakusaensis,28.0,None,None
2576,Streptomyces althioticus,28.0,None,None
2577,Streptomyces alboniger,28.0,None,None
2578,Kitasatospora albolonga,28.0,None,None
2579,Streptomyces albogriseolus,30.0,None,None
2580,Streptomyces alboflavus,28.0,None,None
2581,Streptomyces albofaciens,28.0,None,None
2582,Streptomyces cirratus,28.0,None,None
2583,Streptomyces cinnamonensis,28.0,None,None
2584,Streptomyces cinnabarinus,28.0,None,None
2585,Streptomyces cinereus,28.0,None,None
2586,Streptomyces cinereoruber subsp. cinereoruber,28.0,None,None
2587,Streptomyces chryseus,28.0,None,None
2588,Streptomyces chromofuscus,30.0,None,None
2589,Streptomyces chrestomyceticus,28.0,None,None
2590,Streptomyces chattanoogensis,28.0,None,None
2591,Streptomyces chartreusis,30.0,None,None
2592,Streptomyces cellulosae,28.0,None,None
2593,Streptomyces celluloflavus,28.0,None,None
2594,Streptomyces cellostaticus,30.0,None,None
2595,Streptomyces catenulae,28.0,None,None
2596,Streptomyces capoamus,28.0,None,None
2597,Streptomyces candidus,28.0,None,None
2598,Streptomyces calvus,28.0,None,None
2599,Streptomyces caelestis,30.0,None,None
2600,Streptomyces brasiliensis,28.0,None,None
2601,Streptomyces bottropensis,28.0,None,None
2602,Streptomyces bluensis,28.0,None,None
2603,Streptomyces blastmyceticus,28.0,None,None
2604,Streptomyces bikiniensis,28.0,None,None
2605,Streptomyces bellus,28.0,None,None
2606,Streptomyces badius,28.0,None,None
2607,Streptomyces azureus,26.0,None,None
2608,Streptomyces avidinii,28.0,None,None
2609,Streptomyces aureoverticillatus,30.0,None,None
2610,Streptomyces aureocirculatus,28.0,None,None
2611,Streptomyces aurantiogriseus,28.0,None,None
2612,Streptomyces aurantiacus,28.0,None,None
2613,Streptomyces arenae,30.0,None,None
2614,Streptomyces flavoviridis,28.0,None,None
2615,Streptomyces flavotricini,28.0,None,None
2616,Streptomyces flavofungini,28.0,None,None
2617,Streptomyces flavidovirens,28.0,None,None
2618,Streptomyces flaveolus,28.0,None,None
2619,Streptomyces finlayi,28.0,None,None
2620,Streptomyces fimbriatus,28.0,None,None
2621,Streptomyces filipinensis,28.0,None,None
2622,Streptomyces filamentosus,28.0,None,None
2623,Streptomyces eurythermus,28.0,None,None
